汉明距离,fp余弦值,降维余弦值,集合相似度,ENSD相似度,特征数量
16,.538,.200,.077,.271,229,128
9,.645,.523,.121,.250,229,490
13,.583,.374,.122,.361,229,167
16,.504,.344,.119,.358,229,161
14,.567,.373,.119,.271,229,184
13,.583,.373,.119,.214,229,184
13,.583,.374,.122,.361,229,167
12,.685,.453,.120,.360,327,128
9,.711,.331,.163,.227,327,490
9,.743,.422,.131,.354,327,167
10,.722,.408,.130,.354,327,161
10,.722,.396,.137,.360,327,184
11,.686,.363,.144,.297,327,184
9,.743,.422,.131,.354,327,167
13,.607,.223,.091,.176,128,490
17,.542,.440,.161,.345,128,167
14,.632,.438,.161,.346,128,161
16,.580,.380,.165,.357,128,184
15,.597,.376,.159,.262,128,184
17,.542,.440,.161,.345,128,167
12,.585,.481,.131,.490,490,167
11,.640,.468,.128,.483,490,161
11,.640,.423,.132,.395,490,184
10,.658,.423,.147,.354,490,184
12,.585,.481,.131,.490,490,167
3,.915,.986,.985,1.000,167,161
1,.972,.953,.925,1.000,167,184
2,.941,.960,.933,.983,167,184
0,1.000,1.000,1.000,1.000,167,167
2,.944,.949,.909,1.000,161,184
3,.915,.950,.919,.975,161,184
3,.915,.986,.985,1.000,161,167
1,.972,.981,1.000,1.000,184,184
1,.972,.953,.925,1.000,184,167
2,.941,.960,.933,.983,184,167
16,.476,-.068,.032,.000,98,144
15,.447,.341,.049,.000,98,209
12,.577,.595,.310,.399,98,212
14,.463,.178,.070,.000,98,278
13,.560,.552,.529,.708,98,145
13,.522,-.010,.042,.000,98,156
10,.548,.116,.047,.000,98,198
17,.420,.137,.040,.000,98,162
18,.361,-.042,.042,.000,98,323
17,.420,.238,.092,.000,98,528
14,.463,.580,.311,.721,98,218
2,.926,.998,.996,1.000,98,97
15,.447,-.090,.048,.000,98,92
15,.548,.365,.082,.177,144,209
18,.471,.094,.044,.100,144,212
14,.567,.369,.062,.207,144,278
15,.572,.363,.047,.000,144,145
13,.609,.475,.041,.000,144,156
12,.596,.418,.046,.136,144,198
17,.514,.205,.073,.000,144,162
10,.707,.326,.056,.100,144,323
15,.572,.315,.069,.100,144,528
16,.504,.157,.052,.154,144,218
16,.504,-.070,.032,.100,144,97
17,.487,.116,.015,.000,144,92
15,.516,.247,.062,.000,209,212
15,.483,.498,.101,.157,209,278
16,.501,.453,.078,.000,209,145
12,.600,.310,.086,.000,209,156
13,.490,.397,.092,.177,209,198
16,.501,.052,.051,.000,209,162
17,.452,.037,.102,.074,209,323
16,.501,.258,.117,.000,209,528
17,.414,.267,.073,.000,209,218
17,.414,.343,.049,.000,209,97
14,.533,.051,.080,.000,209,92
12,.601,.466,.096,.000,212,278
11,.667,.658,.253,.529,212,145
11,.645,.302,.044,.000,212,156
14,.474,.321,.053,.000,212,198
13,.606,.223,.054,.000,212,162
18,.438,-.049,.060,.000,212,323
13,.606,.347,.080,.000,212,528
4,.869,.949,.946,.638,212,218
12,.601,.596,.311,.399,212,97
15,.516,-.007,.056,.000,212,92
15,.519,.518,.082,.000,278,145
7,.759,.534,.083,.000,278,156
6,.761,.630,.167,.471,278,198
15,.519,.214,.131,.115,278,162
12,.601,.275,.140,.211,278,323
